clase,x,y,content
4,-105.03426224455241,25.912982364886904,"['guys', 'best', 'love', 'health', 'uandpets']"
4,18.60972250874595,-1.5435669434611141,"['cant', 'one', 'talk', 'besties', 'meeting', 'tonight', 'girl', 'im', 'wait']"
4,54.66073749205311,37.81863253014168,"['darealsunisakim', 'thanks', 'sunisa', 'dc', 'meet', 'sweetheart', 'twitter', 'hin', 'area', 'got', 'show', 'add']"
4,9.173590909912267,-4.071137335596387,"['much', 'make', 'hurts', 'friends', 'sick', 'soup', 'really', 'eat', 'plus', 'cheap', 'real', 'food']"
4,-17.191014078383716,8.207348416068445,"['everyone', 'effect', 'lovesbrooklyn']"
4,43.90452129770417,22.229830871871542,"['productoffear', 'burst', 'thanks', 'sulk', 'loud', 'laughing', 'making', 'really', 'tell', 'come']"
4,-27.27902160208203,-31.315390710787103,"['keith', 'find', 'thans', 'ihad', 'hill', 'already', 'response', 'answer']"
4,7.537798070711945,-45.28435107502286,"['jealous', 'keepinupwkris', 'time', 'hope', 'love', 'great', 'like', 'show', 'acm', 'vegas']"
4,23.87209305996102,-0.3692169317977071,"['finally', 'tommcfly', 'ah', 'mr', 'fletcher', 'twitter', 'joining', 'congrats']"
4,54.55867033545611,-93.59839111098958,"['stupid', 'errors', 'type', 'responded', 'forgive', 'helping', 'voip', 'cat']"
4,57.979265497426745,-104.90842238379251,"['hours', 'school', 'straiiight', 'crazy', 'spencerpratt', 'ha', 'happy', 'birthday', 'told', 'day', 'jb', 'hills', 'watch']"
4,27.649025149969486,18.149435287678557,"['half', 'men', 'two', 'naughtyhaughty', 'forget', 'love', 'show']"
4,19.082450131683128,19.15682960037703,"['get', 'worry', 'hang', 'nileyjileyluver', 'haha']"
4,-37.13597989891369,-8.907118294760435,"['may', 'many', 'one', 'cause', 'usual', 'soundwav', 'already', 'lost', 'nights', 'later', 'addicting', 'feeling', 'least']"
4,50.09315594745523,14.498160734041761,"['dm', 'better', 'make', 'get', 'permission', 'lutheranlucciol', 'blessing', 'gt', 'post', 'first', 'lol', 'link', 'sure', 'video', 'lt', 'miss']"
4,17.884582448702066,27.48122350618284,"['added', 'tweetie', 'new', 'iphone']"
4,37.091229788612075,86.63968554217574,"['yeah', 'para', 'ko', 'globe', 'din', 'ako', 'think', 'na', 'makakasama', 'know', 'michellardi', 'really', 'gumaling', 'kung', 'alam', 'sana']"
4,-17.413132017090184,-3.8104287378154598,"['picture', 'sweet', 'nicolerichie']"
4,-82.84351415734571,11.599957750678993,"['random', 'emails', 'pm', 'dinner', 'early', 'tonight', 'cutting', 'catching', 'bacn', 'rss', 'lauraw']"
4,-42.26789742913426,24.924670713540515,"['getting', 'around', 'room', 'dizzy', 'twitter', 'dancing', 'pjs', 'well', 'asked', 'ipod', 'jamming']"
4,-7.337905728640263,19.245911598363545,"['voting', 'thanks', 'place', 'peeps', 'anyways', 'contest']"
4,-33.82528851926645,-15.26015345132444,"['dreams', 'going', 'goodnight', 'sweet', 'everyone', 'bed']"
4,-6.514949107181155,-4.422852413809975,"['tomorrow', 'deposit', 'walking', 'littlelumen', 'put']"
4,-6.116298803304712,85.74866990802155,"['shud', 'tha', 'followinq', 'dachesterfrench']"
4,-0.4404519228087712,-55.745385913288374,"['meant', 'twittering', 'quot', 'toilet', 'back', 'lordpov', 'cubicle', 'somewhere', 'add']"
4,-62.604791070059235,-64.26415964852859,"['aw', 'new', 'mine', 'holding', 'puppy', 'well', 'cutie']"
4,4.651684743604567,0.9945148558269791,"['ijohn', 'proves', 'crotch', 'sleepin', 'kitteh', 'likes']"
4,-1.2755409122005148,-0.7713104190057579,"['dramabeats', 'agreed']"
4,-66.51400839996013,-5.958777579666931,"['find', 'bus', 'border', 'reaching', 'hour', 'amritsar', 'pm', 'wagah']"
4,17.068892406364483,-29.98121192223763,"['let', 'famous', 'albinla', 'star', 'super', 'thinking', 'first', 'tonight', 'interview']"
4,-4.900903232318379,32.33951721892183,"['time', 'family', 'spend', 'happy']"
4,-26.565979467617087,-26.323632888906122,"['finally', 'didnt', 'going', 'bed', 'hills', 'tired', 'gonna', 'watch']"
4,6.415715120602832,46.311248333782906,"['craving', 'colada', 'slushie', 'throat', 'crazy', 'hurting', 'pina', 'banana', 'ooooohh', 'effing', 'got', 'tired']"
4,-6.912835998630667,-43.94467643363852,"['deon', 'dong', 'upload', 'indowebster', 'di', 'banggggg']"
4,-24.801297977093395,-61.10007007107538,"['enjoyed', 'wisdomous', 'glad', 'welcome']"
4,44.44090806923387,-18.410914660269945,"['hawaii', 'cuz', 'shellz', 'hahaha', 'wer', 'sheldawg', 'das', 'omg', 'rolll', 'laughin', 'hook', 'ryt']"
4,-9.799511579861912,-71.96107828695649,"['better', 'pookie', 'pray', 'feel', 'awww', 'bag', 'nurse', 'sickwiththepen']"
4,-14.811287514572802,47.91789636000354,"['buddy', 'cuddle', 'new', 'found', 'yay']"
4,23.619642417385634,-49.78186643901239,"['snob', 'life', 'quot', 'think', 'goes', 'tonight', 'first', 'met', 'bad', 'twitter']"
4,2.3228319858249065,24.58172960710693,"['across', 'tomorrow', 'rehearsal', 'sleep', 'universe']"
4,-17.439385007703404,57.29665722599747,"['dry', 'huh', 'potato', 'sweet', 'annabellee']"
4,12.27319813150853,-11.614140475735413,"['knight', 'cannot', 'bus', 'loved', 'hi', 'jon', 'jonathanrknight', 'see', 'hope', 'great', 'cruise', 'well', 'hear', 'wait']"
4,-13.51259065236743,-26.950770538622578,"['phone', 'long', 'conversation', 'mom']"
4,-75.12465121397487,28.783100166528815,"['say', 'yayyy', 'lol', 'requested', 'suitelifeofkell', 'herrr']"
4,-43.826512557051444,-5.279563800455108,"['practicing', 'shoot', 'mannerisms', 'driving', 'probably', 'crazy', 'voices', 'upcoming', 'brock', 'lines', 'feature']"
4,-29.01774448775905,-29.94907120592775,"['cant', 'get', 'enough', 'new', 'going', 'go', 'moon', 'rd', 'time', 'twilight', 'read', 'series']"
4,26.122148755015665,57.350261571485674,"['diana', 'much', 'dont', 'tar', 'ncaa', 'woot', 'know', 'two', 'anniversary', 'today', 'heels', 'love', 'even', 'month', 'sooooooo', 'omg']"
4,3.4051538693314165,35.91167642161518,['bored']
4,1.3506197513218403,-12.635103046397115,"['asking', 'wallpaper', 'stevecla', 'square', 'red']"
4,-10.804674810620728,-20.15312935610969,"['keith', 'find', 'thanks', 'ihad', 'hill', 'already', 'response', 'answer']"
4,50.97733412303721,53.6616393801923,"['yeah', 'mello', 'cuz', 'noticed', 'pope', 'bb', 'well']"
4,22.329027050784173,-71.15192670784022,"['inspired', 'thats', 'get', 'tryna']"
4,25.4932876407798,-14.727127754776621,"['much', 'better', 'enough', 'get', 'workouts', 'early', 'kourtneykardash', 'night']"
4,28.868866208750234,-102.55623638614767,"['austin', 'ass', 'ur', 'purple', 'woot', 'royal', 'see', 'ladygaga', 'love', 'annnd', 'well', 'hot', 'bob', 'wait', 'way', 'went', 'color']"
4,35.315132791586315,-33.936244405105796,"['spike', 'body', 'quot', 'quotablebuffy', 'one', 'herder', 'songs', 'faith', 'faves', 'nerf', 'met', 'vivian', 'got', 'bunch', 'buffy']"
4,-32.31878075179176,-6.929166611277571,"['gt', 'check', 'devunity', 'wallpaper']"
